Priority,Business Name,Category,Town,County,Region,Mobile,WhatsApp Link,Website,Data Confidence,Notes,Record ID
Medium,VIVO Vape Outlet Hinckley,Vape Shop,Hinckley,Leicestershire,East Midlands,07513 363123,https://wa.me/447513363123,,Low,Supplies premium e-liquids and bargain vape hardware. Address/phone/social from Facebook listing.,UK-001650
Medium,Vape & Smoke,Vape Shop,Blackburn,Lancashire,North West,07913 981254,https://wa.me/447913981254,,Medium,"Independent vape and smoke shop on Accrington Road, Blackburn. Details from Cylex directory listing.",UK-000931
Medium,Vape Bar Bridgnorth,Vape Shop,Bridgnorth,Shropshire,West Midlands,07778 204442,https://wa.me/447778204442,,Medium,Email address h2ovapeslimited@gmail.com published in directory listing; implies operator 'H2O Vapes Limited' (not independently verified).,UK-001372
Medium,Vape Bar Wigan,Vape Shop,Wigan,Greater Manchester,North West,07752 465566,https://wa.me/447752465566,,Low,"Independent vape shop on Wallgate, Wigan, with active Facebook page. Postcode not confirmed in snippet.",UK-000401
Medium,Vape Castle,Vape Shop,Newcastle-under-Lyme,Staffordshire,West Midlands,07878 885409,https://wa.me/447878885409,,Medium,,UK-001373
Medium,Vape Daddy,Vape Shop,Derby,Derbyshire,East Midlands,07888 645839,https://wa.me/447888645839,,Medium,"Independent vape shop on Osmaston Road, Derby.",UK-001654
Medium,Vape Jungle Hatfield,Vape Shop,Hatfield,Hertfordshire,East of England,07312 805883,https://wa.me/447312805883,,Medium,,UK-002100
Medium,Vape Kingdom UK,Vape Shop,St Helens,Merseyside,North West,07910 552233,https://wa.me/447910552233,,High,"Independent vape shop in St Helens town centre (Westfield Street). Companies House confirms VAPE KINGDOM UK LTD (11667721), incorporated 8 Nov 2018, active. Pho",UK-000832
Medium,Vape Nation UK,Vape Shop,Huddersfield,West Yorkshire,Yorkshire & Humber,07809 655738,https://wa.me/447809655738,https://vapenationeshop.co.uk/,Medium,Town-centre store at the arcade entrance on New Street. Own e-shop site vapenationeshop.co.uk found in search results but could not be fetched (proxy blocked).,WY-0174
Medium,Vape Spot Bury,Vape Shop,Bury,Greater Manchester,North West,07478 496993,https://wa.me/447478496993,,Low,"Independent vape shop on Walmersley Road, Bury.",UK-000407
Medium,Vape Zone Herts Ltd,Vape Shop,Hatfield,Hertfordshire,East of England,07914 543121,https://wa.me/447914543121,,Medium,,UK-002106
Medium,Vape for Life (Merthyr Tydfil),Vape Shop,Merthyr Tydfil,Merthyr Tydfil,Wales,07506 512003,https://wa.me/447506512003,https://ecigdirectory.co.uk/vape-shop/listing/vape-for-life-merthyr-tydfil,Low,,UK-002746
Medium,VapeAZ,Vape Shop,Newcastle upon Tyne,Tyne and Wear,North East,07712 112710,https://wa.me/447712112710,,Medium,"Vape shop on Adelaide Terrace, Benwell.",UK-001063
Medium,Vaper Trails,Vape Shop,Biggleswade,Bedfordshire,East of England,07515 374624,https://wa.me/447515374624,,Medium,,UK-002111
Medium,Vapers Dungeon,Vape Shop,Stanley,County Durham,North East,07743 573398,https://wa.me/447743573398,,Medium,Email Vapersdungeon110@gmail.com seen in search results. Alternate phone 07407 341759 also listed.,UK-001208
Medium,Vapes Online Weymouth,Vape Shop,Weymouth,Dorset,South West,07872 833021,https://wa.me/447872833021,,Low,Independent Weymouth vape shop.,UK-002122
Medium,Vapes of Belper,Vape Shop,Belper,Derbyshire,East Midlands,07448 538313,https://wa.me/447448538313,https://www.vapesofbelper.co.uk/,Medium,"Independent vape shop on New Road, Belper.",UK-001664
Medium,Vapeshop Swansea,Vape Shop,Swansea,Swansea,Wales,07494 919007,https://wa.me/447494919007,,Low,,UK-002751
Medium,Vapeworld,Vape Shop,Chester-le-Street,County Durham,North East,07519 191643,https://wa.me/447519191643,https://vapeworld-chester-le-street.ueniweb.com/,Low,,UK-001210
Medium,View Vapes,Vape Shop,Belfast,Belfast,Northern Ireland,07749 114614,https://wa.me/447749114614,https://view-vapes.ueniweb.com/,Medium,,UK-002758
Medium,Viper Vapes,Vape Shop,Newton-le-Willows,Merseyside,North West,07526 275877,https://wa.me/447526275877,,Medium,"Independent vape shop on Market Street, Newton-le-Willows. Address/phone from Yably review page and Cylex listing; Facebook page confirms WA12 location.",UK-000841
Medium,W2 Vapes Central London,Vape Shop,London,Greater London,London,07438 556033,https://wa.me/447438556033,,Medium,Independent vape shop on the Edgware Road strip (W2). Address/postcode/phone from Yell tobacconists W2 listing snippet.,UK-000685
Medium,eCig Boston Vape Store,Vape Shop,Boston,Lincolnshire,East Midlands,07539 864532,https://wa.me/447539864532,,Medium,"Independent vape store on Dolphin Lane, Boston. Stocks Kangertech, Aspire, Eleaf and UK made e-liquids.",UK-001673
Medium,iVAPE QB,Vape Shop,Kingswinford,West Midlands,West Midlands,07842 131532,https://wa.me/447842131532,,Medium,"Independent vape shop, 34 Market Street, Kingswinford. Address and mobile from Facebook page snippet.",UK-000547
High,Manjaros Shisha Lounge,Smoke / Shisha Shop,Middlesbrough,Teesside,North East,07745 527659,https://wa.me/447745527659,https://manjarosshisha.co.uk,Medium,"Shisha lounge attached to Manjaros restaurant brand. Published email on site was masked, so not recorded.",UK-001094
Medium,Amari Shisha Lounge,Smoke / Shisha Shop,Reading,Berkshire,South East,07920 747132,https://wa.me/447920747132,,Low,"Shisha lounge on Wokingham Road, Reading.",UK-002314
Medium,CW Smoke Shop,Smoke / Shisha Shop,Workington,Cumbria,North West,07493 031584,https://wa.me/447493031584,https://cw-smoke-shop.ueniweb.com/,Medium,Small independent smoke shop in Workington providing vapes and smoking supplies.,UK-001006
Medium,Dua Lounge,Smoke / Shisha Shop,Reading,Berkshire,South East,07462 529410,https://wa.me/447462529410,https://dualounge.co.uk/,Medium,"Shisha lounge on Oxford Road, Reading.",UK-002343
Medium,Ibrox Vapes & Shisha Centre,Smoke / Shisha Shop,Glasgow,Glasgow City,Scotland,07447 556307,https://wa.me/447447556307,,Medium,"Independent vape and shisha shop at 382 Paisley Road West, Ibrox (Southside/G51). Address, postcode and mobile from directory and Facebook listings.",UK-000783
Medium,Noir Lounge Bar & Shisha,Smoke / Shisha Shop,Peterborough,Cambridgeshire,East of England,07388 924936,https://wa.me/447388924936,,Low,,UK-002001
Medium,Shisha Town Market,Smoke / Shisha Shop,Edmonton,Greater London,London,07404 066331,https://wa.me/447404066331,,Low,"Shisha/hookah retailer on Fore Street, Upper Edmonton. Address/postcode/phone from Yelp hookah + 192 directory search.",UK-000656
Medium,Smokers Choice UK,Smoke / Shisha Shop,Stoke-on-Trent,Staffordshire,West Midlands,07922 390182,https://wa.me/447922390182,https://www.smokepipeshops.com/smokers-choice-uk/,Medium,,UK-001350
Medium,The Shisha Shop Bradford,Smoke / Shisha Shop,Bradford,West Yorkshire,Yorkshire & Humber,07466 392838,https://wa.me/447466392838,,Medium,Retails AND wholesales shisha products - potential trade buyer. Phone is a WhatsApp number taken from its Instagram profile as summarised in search results.,WY-0160
Medium,VX Shisha (Vape X),Smoke / Shisha Shop,Luton,Bedfordshire,East of England,07503 372986,https://wa.me/447503372986,,Medium,,UK-002094
Medium,Vaporz & Shisha,Smoke / Shisha Shop,London,Greater London,London,07521 262536,https://wa.me/447521262536,,Medium,Independent shisha and vape retailer on the Edgware Road shisha strip (W2). Address/postcode/phone from Cylex London listing snippet.,UK-000680
Low,Ashok & Vanita House,Off-Licence,Liverpool,Merseyside,North West,07956 121045,https://wa.me/447956121045,,Low,"Independent off-licence on Anfield Road (L4), near Anfield stadium.",UK-000755
Low,Grays Convenience Store,Off-Licence,Grays,Essex,East of England,07940 935854,https://wa.me/447940935854,,Low,Listed as Grays Off Licence / Grays Convenience Store. Phone appears to be a mobile number from directory listing.,UK-001971
Low,Holyhead Vape and Liquor,Off-Licence,Holyhead,Isle of Anglesey,Wales,07865 907665,https://wa.me/447865907665,,Medium,"Open 1pm-2am daily. Sells wine, spirits, beer, liquor, vapes, sweets and last-minute essentials.",UK-002672
Low,Liquid Lab Pro Ltd,Off-Licence,Bridgend,Bridgend,Wales,07754 038866,https://wa.me/447754038866,,Low,Listed under Bridgend off-licence register.,UK-002681
Low,Mr George Off Licence,Off-Licence,Cambridge,Cambridgeshire,East of England,07448 491064,https://wa.me/447448491064,,Medium,,UK-001993
Low,The Off Licence (Chorley Old Road),Off-Licence,Bolton,Greater Manchester,North West,07411 497826,https://wa.me/447411497826,,Low,"Independent off-licence on Chorley Old Road, Bolton (BL1 4JE), listed via Bolton Online.",UK-000387
Low,Tooting Food & Wine,Off-Licence,London,Greater London,London,07534 741161,https://wa.me/447534741161,,Medium,"Independent off-licence / convenience store, Tooting. Address and phone from Yell directory.",UK-000669
Low,Vini Italia,Off-Licence,London,Greater London,London,07825 178842,https://wa.me/447825178842,,Medium,Independent Italian wine / off-licence in Tooting. Address and phone from Yell directory.,UK-000683
Medium,Bugsy's Convenience Store,Convenience Store,Stoke-on-Trent,Staffordshire,West Midlands,07765 826582,https://wa.me/447765826582,,Medium,Also DIY & Post Office.,UK-001301
Medium,Sup Mirfield,Convenience Store,Mirfield,West Yorkshire,Yorkshire & Humber,07387 294049,https://wa.me/447387294049,,Low,Address and mobile number taken from the store's own Facebook page details shown in search results; postcode not published.,WY-0157
Medium,Todmorden Road Premier Shop,Convenience Store,Burnley,Lancashire,North West,07772 165075,https://wa.me/447772165075,,Medium,"Premier-branded convenience store, Todmorden Road, Burnley. Symbol-group store operated by an independent limited company. From off-licence directory search res",UK-000867
Medium,Tradycja Polish Food Store,Independent Supermarket,Stoke-on-Trent,Staffordshire,West Midlands,07802 509219,https://wa.me/447802509219,,Medium,,UK-001366
Low,Peerless Stores Limited,Independent Supermarket,Wigan,Greater Manchester,North West,07951 816502,https://wa.me/447951816502,,Medium,"Independent international grocery / supermarket (African, Caribbean, Asian foods), Jaxons Court, Hallgate, Wigan (WN1 1LR). Listed on Wigan Council business dir",UK-000379
Medium,Bettws Service Station (Londis / Gulf),Petrol Station / Forecourt,Bridgend,Bridgend,Wales,07365 295052,https://wa.me/447365295052,,Medium,Sterling Petroleum forecourt; granted 24hr alcohol licence Jan 2025.,UK-002520
High,Target Cash and Carry,Cash & Carry,Guisborough,Teesside,North East,07587 910000,https://wa.me/447587910000,https://targetneltd.co.uk/,Medium,"Wholesale and business cash & carry, open to trade and public. Email admin@targetneltd.co.uk published on own website.",UK-001124
Medium,AT Wholesale Ltd,Cash & Carry,Wolverhampton,West Midlands,West Midlands,07939 332902,https://wa.me/447939332902,,Medium,"Independent cash & carry, Webner Estate, Wolverhampton. Postcode not confirmed in snippets.",UK-000452
Medium,Savemore Cash & Carry,Cash & Carry,Wolverhampton,West Midlands,West Midlands,07440 590515,https://wa.me/447440590515,,Medium,"Independent cash & carry, Patrick Gregory Road (Wednesfield/Ashmore Park area). Address confirmed on own Facebook post.",UK-000511
Medium,Warrington Cash & Carry,Cash & Carry,Warrington,Warrington,North West,07432 489225,https://wa.me/447432489225,,Medium,"Independent cash & carry / wholesaler on Winwick Quay, Warrington.",UK-000939
Medium,Wigton Cash & Carry (Wigton Distribution),Cash & Carry,Leeds,West Yorkshire,Yorkshire & Humber,07833 840327,https://wa.me/447833840327,http://wigtonfoodservice.co.uk/,Medium,"Dessert and food wholesaler delivering nationwide; phone numbers from social listings (07833 840327 / 07766 345166), not yet verified against official site. CH ",WY-0189
